ID;Nombre_Lana;Nombre_Archivo;Color_Hex;Color_RGB;Ruta_Completa
1;FL 19;FL 19.jpg;#7f547f;(127, 84, 127);https://piccolo.com.co/wp-content/uploads/2024/01/FL-19.jpg
2;FL 25;FL 25.jpg;#c3c4be;(195, 196, 190);https://piccolo.com.co/wp-content/uploads/2024/01/FL-25.jpg
3;FL 24;FL 24.jpg;#6f7b48;(111, 123, 72);https://piccolo.com.co/wp-content/uploads/2024/01/FL-24.jpg
4;FL 30;FL 30.jpg;#ab3d1e;(171, 61, 30);https://piccolo.com.co/wp-content/uploads/2024/01/FL-30.jpg
5;FL 18;FL 18.jpg;#974b64;(151, 75, 100);https://piccolo.com.co/wp-content/uploads/2024/01/FL-18.jpg
6;FL 26;FL 26.jpg;#8ea2a0;(142, 162, 160);https://piccolo.com.co/wp-content/uploads/2024/01/FL-26.jpg
7;FL 27;FL 27.jpg;#4a7c93;(74, 124, 147);https://piccolo.com.co/wp-content/uploads/2024/01/FL-27.jpg
8;FL 23;FL 23.jpg;#244529;(36, 69, 41);https://piccolo.com.co/wp-content/uploads/2024/01/FL-23.jpg
9;FL 22;FL 22.jpg;#c1c1bc;(193, 193, 188);https://piccolo.com.co/wp-content/uploads/2024/01/FL-22.jpg
10;FL 20;FL 20.jpg;#23214d;(35, 33, 77);https://piccolo.com.co/wp-content/uploads/2024/01/FL-20.jpg
11;FL 08;FL 08.jpg;#cdc7bb;(205, 199, 187);https://piccolo.com.co/wp-content/uploads/2024/01/FL-08.jpg
12;FL 09;FL 09.jpg;#cfc8b9;(207, 200, 185);https://piccolo.com.co/wp-content/uploads/2024/01/FL-09.jpg
13;FL 21;FL 21.jpg;#4d432c;(77, 67, 44);https://piccolo.com.co/wp-content/uploads/2024/01/FL-21.jpg
14;FL 10;FL 10.jpg;#d3c3aa;(211, 195, 170);https://piccolo.com.co/wp-content/uploads/2024/01/FL-10.jpg
15;FL 04;FL 04.jpg;#c2c2c2;(194, 194, 194);https://piccolo.com.co/wp-content/uploads/2024/01/FL-04.jpg
16;FL 05;FL 05.jpg;#bcb7ad;(188, 183, 173);https://piccolo.com.co/wp-content/uploads/2024/01/FL-05.jpg
17;FL 11;FL 11.jpg;#201f25;(32, 31, 37);https://piccolo.com.co/wp-content/uploads/2024/01/FL-11.jpg
18;FL 07;FL 07.jpg;#59271f;(89, 39, 31);https://piccolo.com.co/wp-content/uploads/2024/01/FL-07.jpg
19;FL 13;FL 13.jpg;#c8c8c6;(200, 200, 198);https://piccolo.com.co/wp-content/uploads/2024/01/FL-13.jpg
20;FL 12;FL 12.jpg;#5e6071;(94, 96, 113);https://piccolo.com.co/wp-content/uploads/2024/01/FL-12.jpg
21;FL 06;FL 06.jpg;#5a2515;(90, 37, 21);https://piccolo.com.co/wp-content/uploads/2024/01/FL-06.jpg
22;FL 02;FL 02.jpg;#b8b1ac;(184, 177, 172);https://piccolo.com.co/wp-content/uploads/2024/01/FL-02.jpg
23;FL 16;FL 16.jpg;#c6c0b7;(198, 192, 183);https://piccolo.com.co/wp-content/uploads/2024/01FL-16.jpg
24;FL 17;FL 17.jpg;#935b6c;(147, 91, 108);https://piccolo.com.co/wp-content/uploads/2024/01/FL-17.jpg
25;FL 03;FL 03.jpg;#7f632c;(127, 99, 44);https://piccolo.com.co/wp-content/uploads/2024/01/FL-03.jpg
26;FL 15;FL 15.jpg;#581313;(88, 19, 19);https://piccolo.com.co/wp-content/uploads/2024/01/FL-15.jpg
27;FL 01;FL 01.jpg;#8b4a0b;(139, 74, 11);https://piccolo.com.co/wp-content/uploads/2024/01/FL-01.jpg
28;FL 29;FL 29.jpg;#c4bdb4;(196, 189, 180);https://piccolo.com.co/wp-content/uploads/2024/01/FL-29.jpg
29;FL 28;FL 28.jpg;#2a4e68;(42, 78, 104);https://piccolo.com.co/wp-content/uploads/2024/01/FL-28.jpg
30;FL 14;FL 14.jpg;#650f09;(101, 15, 9);https://piccolo.com.co/wp-content/uploads/2024/01/FL-14.jpg

